server-1   | 2024-05-27 14:56:08,346 server INFO: Incomming connection from ('172.22.0.25', 39674)
client-10  | 2024-05-27 14:56:08,348 complex-emu INFO: Received INIT commat at [24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 23.
client-43  | 2024-05-27 14:56:08,437 fast-gibbon INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-43  | 2024-05-27 14:56:08,437 fast-gibbon INFO: Waiting 5.182331179529997s to send result 83.
client-1   | 2024-05-27 14:56:08,438 brave-cougar INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-1   | 2024-05-27 14:56:08,438 brave-cougar INFO: Waiting 2.383978455547032s to send result 73.
client-18  | 2024-05-27 14:56:08,437 outrageous-polecat INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-20  | 2024-05-27 14:56:08,437 nifty-hedgehog INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-18  | 2024-05-27 14:56:08,437 outrageous-polecat INFO: Waiting 1.0508747145127162s to send result 38.
server-1   | 2024-05-27 14:56:08,436 server INFO: Sending START (23 clients)
client-20  | 2024-05-27 14:56:08,437 nifty-hedgehog INFO: Waiting 9.222178551123857s to send result 45.
client-11  | 2024-05-27 14:56:08,438 tireless-tapir INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-11  | 2024-05-27 14:56:08,439 tireless-tapir INFO: Waiting 5.62922432056756s to send result 59.
client-17  | 2024-05-27 14:56:08,439 spiked-urchin INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-17  | 2024-05-27 14:56:08,439 spiked-urchin INFO: Waiting 3.6990245572339173s to send result 97.
client-8   | 2024-05-27 14:56:08,438 onyx-earthworm INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-8   | 2024-05-27 14:56:08,439 onyx-earthworm INFO: Waiting 9.988938130561086s to send result 34.
client-37  | 2024-05-27 14:56:08,440 naughty-kakapo INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-6   | 2024-05-27 14:56:08,439 perfect-worm INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-5   | 2024-05-27 14:56:08,438 dainty-bullmastiff INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-5   | 2024-05-27 14:56:08,439 dainty-bullmastiff INFO: Waiting 5.738722903476266s to send result 32.
client-6   | 2024-05-27 14:56:08,439 perfect-worm INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-3   | 2024-05-27 14:56:08,438 impartial-badger INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-3   | 2024-05-27 14:56:08,438 impartial-badger INFO: Waiting 5.548849547393514s to send result 57.
client-19  | 2024-05-27 14:56:08,438 tested-turkey INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-19  | 2024-05-27 14:56:08,438 tested-turkey INFO: Waiting 7.383553379024244s to send result 83.
client-37  | 2024-05-27 14:56:08,441 naughty-kakapo INFO: Waiting 9.883147749841164s to send result 15.
client-6   | 2024-05-27 14:56:08,441 perfect-worm INFO: Waiting 5.649779372475434s to send result 43.
client-6   | 2024-05-27 14:56:08,441 perfect-worm INFO: Waiting 5.649779372475434s to send result 43.
